"","peaknum_a","mz","rt","rtmin","rtmax","match_mz","n_carbons","adduct","iso","charge","maxo"
"peaknum",3359,787.552120323192,862.083,845.119,881.042,830.696323578843,43,0,0,1,22275.5390625
"peaknum",6662,787.748353378719,1504.95223729223,1491.75,1519.69,816.844821761668,29,NA,NA,1,32844.42578125
"peaknum",6556,788.751275625162,1504.72,1495.74,1515.7,816.844821761668,28,0,NA,1,5376.93505859375
"peaknum",13305,789.566309113846,3555.35856469712,3484.52,3599.28,832.7106945634,43,NA,NA,1,6601.33251953125
"peaknum",13306,790.569616294179,3556.37,3485.52,3599.28,831.707433700116,41,NA,NA,1,3310.07250976562
"peaknum",4906,791.465488720508,1091.6,1031.73,1129.52,830.595409927719,39,NA,NA,1,1746.23254394531
"peaknum",6441,798.236843741564,1505.72,1496.74,1510.71,827.335676740784,29,0,NA,1,1494.81909179688
"peaknum",2118,801.49281315174,827.157,814.185,834.143,839.619692388412,38,0,0,1,2513.54711914062
"peaknum",7094,804.226135080725,1622.47,1613.49,1631.45,832.322276544455,28,0,0,1,1584.18347167969
"peaknum",7596,806.134162582973,1691.33,1683.34,1700.31,833.224900992919,27,0,0,1,2309.19775390625
"peaknum",5486,807.241285034008,1180.41,1174.43,1187.4,831.3252859694,24,NA,NA,1,853.082397460938
"peaknum",9464,808.120497483066,2238.16,2226.19,2253.13,831.197250319591,23,0,0,1,40428.9453125
"peaknum",6194,808.25208396454,1478.78,1463.81,1495.74,838.352545619236,30,NA,NA,1,8981.361328125
"peaknum",8627,808.626249049341,1916.85,1908.87,1927.83,841.064993932973,97,NA,NA,3,3358.48779296875
"peaknum",6195,808.754171202787,1478.78,1465.8,1493.74,838.854898139417,30,NA,NA,1,6260.0703125
"peaknum",8637,808.959539935873,1917.85,1909.86,1926.83,841.064993932973,32,NA,NA,1,3904.60668945312
"peaknum",8638,809.29333370178,1916.85,1909.86,1926.83,840.398629706586,31,NA,NA,1,2665.57202148438
"peaknum",7262,810.215993215352,1647.42,1641.43,1653.4,837.303676067865,27,0,0,1,884.608093261719
"peaknum",6049,814.175154808703,1467.8,1462.81,1472.79,835.244420769139,21,0,NA,1,1820.29052734375
"peaknum",6557,814.239887672857,1507.71,1501.73,1522.68,842.333613467631,28,0,NA,1,3175.48291015625
"peaknum",6495,814.74252718862,1507.71,1502.72,1512.7,843.837972734295,29,NA,NA,1,2307.78125
"peaknum",11923,815.505329444119,3361.78,3331.85,3391.72,854.637792880117,39,NA,NA,1,1195.79016113281
"peaknum",5829,816.237153341506,1313.13,1290.18,1336.08,843.329350790707,27,NA,NA,1,1371.97583007812
"peaknum",6533,817.257052003322,1504.65128386979,1493.74,1519.69,847.357099195187,30,0,0,1,11085.671875
"peaknum",6559,817.758798065879,1503.72,1493.74,1515.7,846.856001924199,29,0,0,1,9501.138671875
"peaknum",5920,818.2647121407,1332.09,1316.12,1346.06,848.366079086124,30,NA,NA,1,4788.30517578125
"peaknum",5896,818.766963641889,1332.09,1313.13,1350.05,847.863186393358,29,NA,NA,1,3386.06958007812
"peaknum",2119,819.414962215877,828.155,822.168,834.143,857.542150804111,38,0,NA,1,4632.25
"peaknum",7559,822.108483356487,1690.33,1685.34,1695.32,849.199371557477,27,NA,NA,1,879.099304199219
"peaknum",8592,822.628777930551,1912.86,1903.88,1922.84,856.072885759783,100,0,0,3,6503.59130859375
"peaknum",5488,823.215098907584,1180.41,1173.43,1188.39,847.297237657317,24,0,0,1,1294.65905761719
"peaknum",8594,823.298173025145,1911.86,1898.89,1926.83,855.404921642117,32,0,0,1,5408.49609375
"peaknum",5676,827.269680156635,1228.31,1213.34,1244.28,857.370511714053,30,0,0,1,22811.19921875
"peaknum",6535,828.247913005735,1504.72,1494.74,1514.7,858.350337942639,30,NA,NA,1,2456.18505859375
"peaknum",6498,828.749272057464,1504.72,1495.74,1512.7,857.846007750287,29,NA,NA,1,1966.251953125
"peaknum",9453,830.102287567765,2239.3782044454,2229.18,2251.14,853.178627449839,23,NA,NA,1,3665.22705078125
"peaknum",6908,832.270126677543,1546.93057823154,1544.64,1551.62,862.370593142506,30,0,NA,1,9770.568359375
"peaknum",2596,833.43069324001,840.13,828.155,856.096,872.561044043449,39,NA,NA,1,4094.72973632812
"peaknum",6065,836.155888521058,1467.8,1462.81,1473.79,857.227137841968,21,0,0,1,1614.05419921875
"peaknum",6446,836.234059808984,1504.19663292132,1496.74,1510.71,865.33256912142,29,NA,NA,1,2162.93505859375
"peaknum",8551,836.632627189582,1905.87,1895.89,1920.84,870.745864984946,102,0,NA,3,20285.80078125
"peaknum",6447,836.735620095647,1503.72,1497.74,1512.7,864.829969610923,28,0,0,1,962.208984375
"peaknum",11840,837.552876879717,3353.8,3332.85,3373.76,873.672393665328,36,NA,NA,1,830.163330078125
"peaknum",6160,838.261998173994,1477.78,1466.8,1493.74,868.363521179328,30,0,0,1,2686.3662109375
"peaknum",1584,839.532311625558,800.215,791.234,815.183,880.668220366929,41,0,NA,1,2042.07751464844
