"","peaknum_b","peaknum_a","rt_diff","c_diff"
"166",9374,8024,5.52031829787256,0
"167",2296,2353,4.01731394408148,0
"168",2315,2309,4.00344628187042,0
"169",2586,2666,4.91825420405621,0
"170",9491,8158,2.13139531382512,0
"171",9544,8192,1.32942220484483,0
"172",2365,2596,3.92025420405616,0
"173",3320,3326,4.34974953066205,0
"174",5906,5168,2.00189488188744,0
"175",9567,8220,0.538511600356742,0
"176",9451,8125,6.52031829787256,0
"177",9363,8098,8.52407479645899,0
"178",9602,8247,7.66256053417055,0
"179",2679,2740,4.93212186626738,0
"180",1604,1733,3.44915589081677,0
"181",3212,3310,4.34974953066205,0
"182",9392,8069,5.52031829787256,0
"183",7832,6795,3.07118126307341,0
"184",3183,3315,6.34574953066203,0
"185",9279,7975,5.64961894979751,0
"186",9574,8228,0.431795224553753,0
"187",6994,6084,-2.85445446093559,0
"188",6942,6017,-3.86834991405294,0
"189",3172,3297,4.41908784171812,0
"190",2796,3082,4.91825420405621,0
"191",9364,8039,8.52407479645899,0
"192",2821,3164,3.92025420405616,0
"193",763,831,-35.1633430950845,0
"194",7834,6801,4.07118126307341,0
"195",9308,8010,4.82532349380062,0
"196",5712,5001,4.09727345113561,0
"197",9274,7989,8.10482154310012,0
"198",9275,7977,7.11482154309988,0
"199",6967,6049,-2.85445446093559,0
"200",9564,8217,-0.0866076614915983,0
"201",9435,8115,6.75547379461796,0
"202",2536,2943,3.906386541845,0
"203",9541,8201,4.30552675172748,0
"204",9535,8194,4.19842159011296,0
"205",2638,3064,3.94898952847859,0
"206",2317,2830,3.93412186626745,0
"207",6141,5330,1.25481956143062,0
"208",7525,6486,7.20212552348153,0
"209",2852,2972,2.72913472400546,0
"210",9542,8199,3.30552675172748,0
"211",9527,8200,6.31942220484507,0
"212",7448,6446,6.76670917870911,0
"213",1661,1717,-0.584447095816813,0
"214",9617,8261,23.3485696315001,0
"215",2776,3104,4.79345913960833,0
"216",9230,7961,8.21347440114596,0
"217",5206,4579,4.20493577999036,0
"218",7704,6662,7.44291014599617,0
"219",7247,6318,6.76670917870911,0
"220",3471,3439,3.82284784390151,0
"221",9236,7957,9.17415985415573,14
"222",8965,7795,9.3114503160823,0
"223",7240,6297,5.7767091787091,0
"224",7639,6625,6.99023125850636,0
"225",9232,7953,8.19805530727353,0
"226",9284,7990,8.39217478732462,0
"227",2855,3043,2.72913472400546,0
"228",5734,5019,4.00028318837576,0
"229",7593,6571,6.26744554819948,0
"230",9209,7939,8.85231712916675,0
"231",9186,7936,8.35438388108969,0
"232",9137,7890,10.396070240442,0
"233",4992,3988,-23.5438756995266,0
"234",9195,7921,8.38717478732451,0
"235",6199,5396,-1.05408108761503,0
"236",7649,6645,5.00023125850635,-1
"237",8924,7628,5.73711569456214,0
"238",7884,6860,7.07990767712158,0
